KOBE_ID,CatName
KOBE-001,HIP27188
KOBE-002,HD107596
KOBE-003,HD266611
KOBE-004,HIP87457
KOBE-005,TYC4402-1052-1
KOBE-006,HIP80093
KOBE-007,HIP53580
KOBE-008,HIP33322
KOBE-009,HIP71311
KOBE-010,HIP89560
KOBE-011,HIP55718
KOBE-012,TYC3060-00109-1
KOBE-013,HIP108391
KOBE-014,HIP68403
KOBE-015,HIP59953
KOBE-016,LHS6162
KOBE-017,HIP39494
KOBE-018,HIP58099
KOBE-019,HIP2426
KOBE-020,HIP8043
KOBE-021,HIP32723
KOBE-022,TYC3560-2104-1
KOBE-023,HIP32754
KOBE-024,HIP64600
KOBE-025,HIP44687
KOBE-026,HIP48629
KOBE-027,HIP21750
KOBE-028,HIP57571
KOBE-029,TYC4797-01760-1
KOBE-030,TYC3647-01632-1
KOBE-031,2MASSJ06024425+0848309
KOBE-032,TYC3876-259-1
KOBE-033,HIP99880
KOBE-034,TYC3613-1786-1
KOBE-035,HIP113535
KOBE-036,HIP106794
KOBE-037,HIP108092
KOBE-038,HIP39612
KOBE-039,HIP48024
KOBE-040,TYC2477-444-1
KOBE-041,HD233719
KOBE-042,HIP85887
KOBE-043,2MASSJ12514755+5948287
KOBE-044,HIP5369
KOBE-045,TYC3175-442-1
KOBE-046,TYC3013-01859-1
KOBE-047,HIP82333
KOBE-048,TYC0643-00708-1
KOBE-049,TYC1779-00301-1
KOBE-050,TYC2477-00444-1
KOBE-056,HIP5957
KOBE-061,HIP14633
KOBE-082,HIP17496
KOBE-088,HIP90376
KOBE-HD109358,HD109358
KOBE-HD185144,HD185144
KOBE-HD221354,HD221354
KOBE-HD30708,HD30708
KOBE-HD89269A,HD89269
KOBE-HD9407,HD9407
KOBE-HD115404,HD115404